City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Vaitape,-16.5167,-151.75,81.37,72,44,18.66,PF,1613021270
Shakawe,-18.3667,21.85,66.43,96,100,8.37,BW,1613021271
Menongue,-14.6585,17.691,59.88,81,100,4.18,AO,1613021271
Lere,10.387,8.5726,61.7,27,0,5.46,NG,1613021271
Bristol,41.8334,-71.1662,24.01,79,94,1.99,US,1613021231
Korla,41.7597,86.1469,40.98,57,100,6.49,CN,1613021271
Faya,18.3851,42.4509,53.6,76,0,2.55,SA,1613021272
Manokwari,-0.8667,134.0833,82.87,76,73,1.48,ID,1613021170
Rognan,67.0953,15.3878,21.99,91,94,6.58,NO,1613021287
Naze,28.3667,129.4833,60.8,88,75,21.85,JP,1613021288
Houma,29.5958,-90.7195,68.0,94,90,5.75,US,1613021288
Tsumeb,-19.2333,17.7167,65.19,92,100,10.76,NA,1613021288
Roebourne,-20.7833,117.1333,94.37,45,3,12.3,AU,1613021288
Saint-Joseph,-21.3667,55.6167,84.99,61,75,9.22,RE,1613021289
Barabai,-2.5833,115.3833,91.69,56,77,3.04,ID,1613021289
Matadi,-5.8167,13.45,75.15,91,100,1.61,CD,1613021289
Bama,11.5221,13.6856,54.43,54,0,2.24,NG,1613021289
Bengkulu,-3.8004,102.2655,84.94,61,11,6.2,ID,1613021290
Rūdbār,30.15,62.6,66.81,24,3,0.36,AF,1613021290
Ørje,59.4802,11.6602,14.0,81,0,7.05,NO,1613021290
Lumeje,-11.55,20.7833,64.98,96,100,4.99,AO,1613021290
Huarmey,-10.0681,-78.1522,72.93,72,93,2.98,PE,1613021291
Antibes,43.5624,7.1278,48.2,53,0,12.66,FR,1613021291
Plettenberg Bay,-34.0527,23.3716,68.2,85,9,1.07,ZA,1613021291
Ereymentau,51.6199,73.1033,-10.07,89,80,1.7,KZ,1613021291
Yuxia,34.0615,108.6291,50.0,46,90,4.47,CN,1613021291
Seymchan,62.8833,152.4333,-3.53,89,86,0.76,RU,1613021292
Aklavik,68.2191,-135.0107,-23.8,76,0,6.91,CA,1613021292
Peniche,39.3558,-9.3811,59.0,89,100,7.0,PT,1613021292
Les Cayes,18.2,-73.75,74.26,79,1,3.74,HT,1613021292
Boguchany,58.3814,97.4531,-3.26,85,74,6.4,RU,1613021292
Isangel,-19.55,169.2667,82.76,69,62,9.35,VU,1613021293
Alice Springs,-23.7,133.8833,98.6,32,0,16.11,AU,1613021040
Salalah,17.0151,54.0924,77.0,38,0,9.22,OM,1613021252
Manoel Urbano,-8.8389,-69.2597,73.27,98,100,2.82,BR,1613021294
Hay River,60.8156,-115.7999,-20.2,76,55,3.44,CA,1613021294
Mayumba,-3.432,10.6554,77.25,89,82,0.85,GA,1613021294
Clyde River,70.4692,-68.5914,5.0,92,0,44.87,CA,1613021294
Beira,-19.8436,34.8389,78.8,83,40,11.5,MZ,1613021294
Lagunas,-5.2269,-75.6753,74.86,91,100,1.54,PE,1613021295
Bambous Virieux,-20.3428,57.7575,84.0,64,87,8.99,MU,1613021295
Burnie,-41.0667,145.9167,61.0,85,99,5.01,AU,1613020997
Ürümqi,43.801,87.6005,21.2,86,75,6.71,CN,1613021045
Bontang,0.1333,117.5,86.04,65,100,3.24,ID,1613021295
Road Town,18.4167,-64.6167,75.0,89,12,3.0,VG,1613021296
Micheweni,-4.9667,39.8333,82.0,73,100,9.22,TZ,1613021296
Ahipara,-35.1667,173.1667,66.45,70,74,11.32,NZ,1613021296
Warrnambool,-38.3833,142.4833,88.57,30,98,18.03,AU,1613021197
Bahār,34.9072,48.4414,37.4,65,0,2.3,IR,1613021297
Macklin,52.3334,-109.9348,-29.2,68,100,6.91,CA,1613021297
Poggibonsi,43.4724,11.1456,45.0,100,20,2.3,IT,1613021298
Mtinko,-4.55,34.85,61.36,98,100,5.12,TZ,1613021298
Santa Elena,-2.2333,-80.85,76.21,82,93,3.69,EC,1613021298
Zatoka,46.0725,30.4654,41.0,100,90,13.42,UA,1613021298
Natal,-5.795,-35.2094,80.6,78,40,10.36,BR,1613021298
Kochevo,59.5994,54.3125,-17.64,87,35,1.45,RU,1613021299
Maniitsoq,65.4167,-52.9,14.5,86,0,4.45,GL,1613021299
Prince George,53.9166,-122.753,-13.0,70,1,10.36,CA,1613021299
Kralendijk,12.15,-68.2667,78.8,73,21,11.5,BQ,1613021299
Narsaq,60.9167,-46.05,33.8,27,20,31.07,GL,1613021300
Tabou,4.423,-7.3528,77.72,90,54,6.02,CI,1613021300
Rio Verde de Mato Grosso,-18.9181,-54.8442,71.26,86,89,3.6,BR,1613021300
Mānsa,29.9833,75.3833,73.24,24,0,2.51,IN,1613021301
Hambantota,6.1241,81.1185,86.0,58,20,8.05,LK,1613021301
Wentzville,38.8114,-90.8529,15.01,88,100,1.99,US,1613021301
Fostoria,41.157,-83.4169,16.0,88,100,4.0,US,1613021302
Itoman,26.1247,127.6694,64.4,88,75,27.63,JP,1613021302
Yichang,30.7144,111.2847,65.68,40,54,3.44,CN,1613021303
Kwang Binh,17.4833,106.6,68.65,69,63,3.56,VN,1613021303
Hobyo,5.3505,48.5268,78.82,68,93,19.55,SO,1613021303
Sohag,26.557,31.6948,55.4,47,0,3.44,EG,1613021303
Panguna,-6.3164,155.4848,74.07,95,99,1.61,PG,1613021303
Anaconda,46.1285,-112.9423,8.6,72,90,6.91,US,1613021304
Mnogovershinnyy,53.9353,139.9242,14.38,96,66,8.5,RU,1613021304
Mercedes,-34.6515,-59.4307,66.0,95,99,8.05,AR,1613021305
Kondinskoye,59.6481,67.41,-22.92,86,0,5.95,RU,1613021305
Roald,62.5833,6.1333,23.0,50,0,13.8,NO,1613021305
Banepā,27.6298,85.5214,62.6,59,20,3.44,NP,1613021305
Vidim,56.4088,103.1106,6.44,90,99,5.84,RU,1613021306
Sobolevo,54.4299,31.8996,-1.43,92,100,4.27,RU,1613021306
Mil'kovo,54.7167,158.6167,22.23,95,100,12.75,RU,1613021306
Kasongo-Lunda,-6.4667,16.8167,69.96,91,100,0.94,CD,1613021306
Bondo,3.8146,23.6866,64.83,38,93,2.51,CD,1613021307
Kutum,14.2,24.6667,57.16,53,0,10.09,SD,1613021109
Marzuq,14.4,46.4667,61.59,31,7,4.74,YE,1613021307
Akhisar,38.9185,27.8401,48.2,87,40,9.22,TR,1613021307
Osoyoos,49.0331,-119.4524,15.8,53,84,12.66,CA,1613021307
Noumea,-22.2763,166.4572,82.4,57,90,8.05,NC,1613021308
Aleksandrov Gay,50.147,48.5704,27.59,98,100,10.33,RU,1613021308
Teknāf,20.8624,92.3058,80.38,27,0,3.91,BD,1613021308
Kumul,42.8,93.45,38.59,60,75,6.98,CN,1613021308
Vardø,70.3705,31.1107,19.4,68,75,14.97,NO,1613021308
Hohhot,40.8106,111.6522,48.2,23,0,8.95,CN,1613021309
Matamoros,25.5333,-103.25,60.64,30,1,3.58,MX,1613021309
Sokoni,-6.4333,39.55,77.0,88,75,9.22,TZ,1613021309
Karoi,-16.8099,29.6925,63.9,95,96,5.03,ZW,1613021309
Somerset,40.5668,-74.5496,28.99,93,90,1.72,US,1613021310
Doha,25.2867,51.5333,62.6,88,20,4.61,QA,1613021310
Hastings,50.8552,0.5729,28.0,73,61,1.01,GB,1613021310
Marrakesh,31.6315,-8.0083,50.0,87,0,1.14,MA,1613021311
Iquitos,-3.7481,-73.2472,78.8,94,75,4.61,PE,1613021311
Kota Bharu,6.1333,102.2386,87.8,62,20,9.22,MY,1613021311
Shelburne,44.0787,-80.2041,15.01,79,90,2.3,CA,1613021311
Liberty,31.8335,-81.5004,57.2,100,90,5.75,US,1613021311
Mount Darwin,-16.7725,31.5838,68.65,91,99,1.52,ZW,1613021312
Ibrā’,22.6906,58.5334,75.97,25,76,1.43,OM,1613021312
Guerrero Negro,27.9769,-114.0611,56.48,79,16,14.61,MX,1613021312
Esperance,-33.8667,121.9,68.0,52,90,14.97,AU,1613021313
High Level,58.5169,-117.136,-18.4,76,1,10.36,CA,1613021313
Hualmay,-11.0964,-77.6139,73.08,69,90,4.32,PE,1613021313
Port Macquarie,-31.4333,152.9167,77.0,47,40,12.66,AU,1613021313
Broome,42.2506,-75.833,21.0,67,90,1.68,US,1613021313
Ulagan,50.6321,87.9563,4.5,78,100,0.67,RU,1613021314
Yerbogachën,61.2767,108.0108,-4.97,88,20,4.05,RU,1613021314
Pisco,-13.7,-76.2167,71.6,78,0,5.75,PE,1613021314
Amargosa,-13.0303,-39.6047,69.75,92,50,4.85,BR,1613021315
Quatre Cocos,-20.2078,57.7625,84.0,64,90,8.99,MU,1613021315
Valle de Allende,26.9333,-105.4,56.25,35,28,3.76,MX,1613021315
Bawku,11.0616,-0.2417,69.42,21,24,5.19,GH,1613021315
Oddur,4.1213,43.8894,71.35,66,87,22.95,SO,1613021315
Aguié,13.506,7.7786,63.88,24,0,10.96,NE,1613021316
Eyl,7.9803,49.8164,75.79,66,66,16.84,SO,1613021316
Athabasca,54.7169,-113.2854,-18.4,69,100,6.91,CA,1613021316
Pacifica,37.6138,-122.4869,52.0,92,19,2.48,US,1613021316
Whitehorse,60.7161,-135.0538,-18.0,63,20,12.66,CA,1613021317
Henties Bay,-22.116,14.2845,68.0,91,98,7.07,NA,1613021317
Dalbandin,28.8947,64.4101,63.59,25,67,8.41,PK,1613021317
Camopi,3.1655,-52.3158,70.84,98,100,1.7,GF,1613021317
Buckingham,51.9997,-0.9878,24.01,92,0,9.4,GB,1613021317
Sittwe,20.15,92.9,79.47,33,0,3.85,MM,1613021189
Los Llanos de Aridane,28.6585,-17.9182,60.8,72,0,8.05,ES,1613021318
Samarai,-10.6167,150.6667,86.32,65,79,10.74,PG,1613021318
Mandalgovi,45.7625,106.2708,25.92,74,31,21.32,MN,1613021319
Sārangarh,21.6,83.0833,80.33,21,37,1.21,IN,1613021319
Moindou,-21.6924,165.677,82.4,57,90,8.05,NC,1613021319
Sterling,39.0062,-77.4286,33.8,93,90,4.61,US,1613021141
Neiafu,-18.65,-173.9833,82.4,83,75,3.44,TO,1613021320
Bonavista,48.6499,-53.1147,21.0,86,99,12.66,CA,1613021320
Mehamn,71.0357,27.8492,17.6,73,20,9.22,NO,1613021320
Nur-Sultan,51.1801,71.446,-9.4,77,75,6.71,KZ,1613021094
Dera Bugti,29.0307,69.151,73.92,18,21,2.75,PK,1613021321
Uşak Province,38.5,29.4167,30.2,100,0,2.3,TR,1613021072
Biu,10.6129,12.1946,60.12,29,12,7.29,NG,1613021321
Daru,-9.0763,143.2092,86.34,71,100,3.71,PG,1613021321
Burē,10.7,37.0667,58.51,39,92,4.16,ET,1613021321
Asău,46.4333,26.4,34.0,72,93,3.29,RO,1613021322
Kavieng,-2.5744,150.7967,81.81,79,66,8.68,PG,1613021137
Rawson,-43.3002,-65.1023,68.4,59,0,31.36,AR,1613021322
Namatanai,-3.6667,152.4333,81.25,80,80,7.38,PG,1613021322
Lubao,14.9167,120.55,87.8,66,75,9.22,PH,1613021322
Wuxue,29.8506,115.5525,54.19,81,100,2.84,CN,1613021323
Paita,-5.0892,-81.1144,74.32,82,70,6.98,PE,1613021323
Tungor,53.3808,142.9564,23.32,97,96,9.15,RU,1613021323
Bantou,26.2151,117.4893,56.05,84,100,2.44,CN,1613021323
Balaipungut,1.05,101.2833,86.0,70,75,6.91,ID,1613021036
Kristinehamn,59.3098,14.1081,10.4,85,45,11.5,SE,1613021324
Arlit,18.7369,7.3853,65.05,23,1,5.01,NE,1613021324
Japura,-0.3167,102.35,86.99,69,100,1.32,ID,1613021324
Pangnirtung,66.1451,-65.7125,3.97,72,23,2.46,CA,1613021325
Port Blair,11.6667,92.75,82.04,54,97,11.12,IN,1613021325
Neryungri,56.6709,124.6491,10.45,92,100,7.2,RU,1613021325
Popondetta,-8.7537,148.2534,88.02,62,100,5.95,PG,1613021325
Azul,-36.777,-59.8585,64.99,89,0,4.0,AR,1613021326
Bellefontaine,40.3612,-83.7597,15.8,92,75,12.66,US,1613021326
Sirte,31.2089,16.5887,62.76,34,0,14.07,LY,1613021326
Takoradze,4.8845,-1.7554,79.54,85,23,7.07,GH,1613021326
Castleford,53.7259,-1.3626,28.0,68,24,3.87,GB,1613021327
San Antonio,29.4241,-98.4936,41.0,87,90,13.8,US,1613021279
Kiunga,-6.1219,141.2906,84.74,87,61,4.45,PG,1613021327
Cururupu,-1.8283,-44.8683,76.5,90,99,2.82,BR,1613021328
Tegul'det,57.3064,88.1667,-11.97,87,98,10.51,RU,1613021328
Tres Arroyos,-38.3739,-60.2798,58.01,96,0,9.01,AR,1613021328
Saint Cloud,45.5608,-94.1625,-9.4,64,1,5.75,US,1613021328
Srandakan,-7.9386,110.2506,82.74,75,77,10.04,ID,1613021328
La Reforma,18.1,-91.0167,71.91,68,49,9.55,MX,1613021329
Esim,4.8699,-2.2405,79.74,86,48,6.76,GH,1613021329
Ulladulla,-35.35,150.4667,84.0,53,20,13.8,AU,1613021329
Piterka,50.6803,47.4454,23.94,98,100,8.61,RU,1613021329
Kyabram,-36.3167,145.05,95.0,21,26,1.99,AU,1613021330
Pata,17.7152,121.5018,84.6,69,3,3.89,PH,1613021330
Abhā,18.2164,42.5053,53.6,76,0,3.11,SA,1613021330
Avanigadda,16.0215,80.9181,82.53,49,65,4.52,IN,1613021330
